游戏名称,ISBN,安装包大小,游戏开发者,适龄提示,著作权人,出版单位,运营单位,批准文号,下载量,下载版本,应用空间,数据空间,运行空间,运行版本,评分,网文号,是否需要权限运行
英雄联盟手游,978-7-498-08805-5,1925.8M,深圳市腾讯计算机系统有限公司,16+,Riot Games.inc.,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,国新出审[2021]320号,1亿,3.2.0.5531,2360M,3000M,5360M,3.2.0.5531,2.1,（署）网出证（粤）字第054号,否
战双帕弥什,978-7-498-06783-8,1969.5M,天津英雄互娱科技有限公司,18+,广州库洛科技有限公司,上海科学技术文献出版社有限公司,0,国新出审[2019]2655号,726万,1.28.0,2210M,7740M,9950M,1.29.0,4.5,软著登记号：2018SR606270,否
王者荣耀,978-7-7979-8408-9,1962.3M,深圳市腾讯计算机系统有限公司,18+,腾讯科技（成都）有限公司,深圳市腾讯计算机系统有限公司,0,新广出审[2017]6712号,38亿,3.73.1.8,2490M,5530M,8010M,3.73.1.8,2.1,粤网文[2017]6138-1456号，文网游备字[2016]M-CSG 0059,否
QQ飞车,978-7-7979-8888-9,2010.3M,深圳市腾讯计算机系统有限公司,18+,腾讯科技（深圳）有限公司,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,新广出审[2017]5377号,3亿,1.31.0.60477,2230M,3980M,6140M,1.31.0.60477,2.3,（署）网出证（粤）字第054号，粤网文[2020]3396-195号，文网游备字[2017]M-CSG 0080号,否
和平精英,978-7-498-06474-5,1974.4M,深圳市腾讯计算机系统有限公司,18+,腾讯科技（深圳）有限公司,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,国新出审[2019]1394号,21亿,1.18.10,2350M,5400M,7720M,1.18.10,3.2,粤网文[2017]6138-1456号,否
明日之后,978-7-498-05037-3,1918M,杭州网易雷火科技有限公司,18+,网易（杭州）网络有限公司,杭州汉唐文化传播有限公司,0,新广出审[2018]1700号,1亿,1.0.206,2100M,5230M,7330M,1.0.206,3.4,浙网文[2019]1372-138号，文网游备字[2018]M-RPG 1312号,否
阴阳师,978-7-7979-9973-1,1953.5M,杭州网易雷火科技有限公司,12+,网易（杭州）网络有限公司,广州网易计算机系统有限公司,0,新广出审[2017]6710号,7330万,1.7.42,2170M,1490M,3660M,1.7.42,3.5,浙网文[2019]1372-138号，文网游备字[2016]M-RPG4708号,否
王牌竞速,978-7-498-08562-7,1936.3M,杭州网易雷火科技有限公司,12+,网易（杭州）网络有限公司,广州网易计算机系统有限公司,0,国新出审[2020]2995号,2285万,4.0.3,2170M,2900M,5060M,4.0.3,3.5,,否
原神,978-7-498-06905-4,216.4M,miHoYo,12+,上海米哈游天命科技有限公司,华东师范大学电子音像出版社有限公司,miHoYo,国新出审[2019]2978号,421.0万,2.7.0_6933846_6989239,585M,14130M,14650M,2.7.0_6933856_6989239,4.2,,否
幻塔,978-7-498-09007-2,1256.1M,苏州幻塔网络科技有限公司,12+,苏州幻塔网络科技有限公司,完美世界（北京）网络技术有限公司,0,国新出审[2021]774号,1247万,2.0.111.48482,1570M,7920M,9480M,2.0.11.48482,3,软著登记号:2019SR0813280,否
太极熊猫,978-7-89988-248-1,433M,苏州蜗牛数字科技股份有限公司,12+,苏州蜗牛数字科技股份有限公司,苏州蜗牛数字科技股份有限公司,0,新广出审[2015]173号,360万,1.1.75,501M,46.82M,546M,1.1.75,2.9,,否
太极熊猫2,978-7-89988-654-0,556M,苏州蜗牛数字科技股份有限公司,18+,苏州蜗牛数字科技股份有限公司,苏州蜗牛数字科技股份有限公司,0,新广出审[2016]626号,71万,1.6.6,609M,41.14M,650M,1.6.6,2,,否
太极熊猫3:猎龙,978-7-7979-7429-5,955.8M,苏州蜗牛数字科技股份有限公司,16+,苏州蜗牛数字科技股份有限公司,苏州蜗牛数字科技股份有限公司,0,新广出审[2017]4099号,132万,4.22.0,1040M,92.23M,1140M,4.22.0,3.3,,否
秦时明月卡牌版,978-7-7979-0080-5,507.2M,,16+,上海骏梦网络科技有限公司,上海触控科技发展有限公司,上海触控科技发展有限公司,新广出审[2016]1262号,838万,7.1.3.33,550M,44.81M,595M,7.1.3.33,8.6,京网文[2015]0630-260号，文网游备字[2014]M-RPG141号,否
穿越火线：枪战王者,978-7-7979-5443-3,1953.5M,深圳市腾讯计算机系统有限公司,18+,笑门娱乐公司,深圳市腾讯计算机系统有限公司,0,新广出审[2017]1948号,3亿,1.0.250.550,2330M,7532M,12492M,1.0.250.550,2.9,（署）网出证（粤）字第054号,否
使命召唤,978-7-498--07992-3,2028.4M,深圳市腾讯计算机系统有限公司,16+,腾讯科技（深圳）有限公司,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,国新出审[2020]1745号,7511万,1.9.32,2440M,14140M,16510M,1.9.33,3.5,（署）网出证（粤）字第054号,否
奥拉星,978-7-498-06598-8,1775.1M,广州天梯网络科技有限公司,16+,广州天梯网络科技有限公司,广州百田信息科技有限公司,广州天梯网络科技有限公司,国新出审[2019]2089号,813万,1.0.183,1980M,1280M,3260M,1.0.183,3,,否
奥奇传说,978-7-498-08185-8,1375.4M,广州天梯网络科技有限公司,16+,广州天梯网络科技有限公司,广州百田信息科技有限公司,,,204万,8.0.374,1540M,646M,2180M,8.0.374,3.1,著作权登记号：2019SR0600025,否
金铲铲之战,978-7-498-08160-5,1967.5M,深圳市腾讯计算机系统有限公司,12+,上海纳原信息技术有限公司,华东师范大学电子音像出版社有限公司,上海纳原信息技术有限公司,国新出审[2020]2140号,4055万,1.2.8,2350M,307M,2650M,1.2.8,2,（总）电出证（沪）字第008号,否
皇室战争,978-7-89988-603-8,150.9M,北京乐享方舟游戏科技有限公司,16+,北京昆仑乐享网络技术有限公司,北京昆仑乐享网络技术有限公司,0,新广出审[2016]396号,1亿,3.2801.11,198M,646M,776M,3.2801.11,2.2,粤网文[2017]6138-1456号，（总）网出证（粤）字第057号,否
幻兽爱合成,978-7-498-07911-4,138.4M,西安乐推网络科技有限公司,12+,西安乐推网络科技有限公司,陕西三秦出版社有限责任公司,西安乐推网络科技有限公司,国新出审[2020]1512号,848万,2.1.2,236M,14.66M,250M,2.1.2,4.6,软著登记号:2019SR0821153,否
哈利波特：魔法觉醒,978-7-498-08007-3,1986.5M,杭州网易雷火科技有限公司,12+,香港网易互动娱乐公司,广州网易计算机系统有限公司,0,国新出审[2020]1730号,3592万,1.20.208830,2290M,5060M,7340M,1.20.208830,3.4,,否
火影忍者,978-7-7979-8725-7,1859.1M,深圳市腾讯计算机系统有限公司,18+,株式会社万代南梦宫娱乐,深圳市腾讯计算机系统有限公司,0,新广出审[2017]5565号,1亿,1.53.68.9,2230M,6490M,8710M,1.53.68.9,2.3,粤网文[2020]3396-195号，文网游备字[2016]0035号，（总）网出证（粤）字第057号,否
食物语,978-7-498-06609-1,1931M,深圳市腾讯计算机系统有限公司,16+,广州天梯网络科技有限公司,广州百田信息科技有限公司,0,国新出审[2019]2101号,768万,1.0.86,2150M,578M,2700M,1.0.86,4.4,粤网文【2017】6138-1456号，（总）网出证（粤）字057号,否
我的世界,978-7-7979-9971-7,831.5M,上海网之易吾世界网络科技有限公司,12+,Mojang Synergies AB,金报电子音像出版中心,0,新广出审[2017]6708号,5亿,2.1.10.164788,1060M,447M,1500M,2.1.10.164788,4.5,京新广文[2017]865号，文网游备字[2017]0074号,否
完美世界,978-7498-05788-4,1173.3M,深圳市腾讯计算机系统有限公司,18+,完美世界（重庆）互动科技有限公司,完美世界（北京）网络技术有限公司,0,国新出审[2019]217号,861万,1.590.0,1460M,5840M,7300M,1.590.0,2.5,"粤网文[2017]6138-1456,（总）网出证（粤）字第057号，文网游备字[2018]M-RPG 0938号",否
决战！平安京,978-7-498-01734-5,1887.5M ,杭州网易雷火科技有限公司,16+,网易（杭州）网络有限公司,杭州汉唐文化传播有限公司,0,新广出审[2017]8776号,4007万,1.100.0,2070M,2990M,5060M,1.100.0,3.9,浙网文[2019]1372-138号，文网游备字[2017]M-RPG 1964号,否
蚁族崛起,978-7-498-09076-8,1568.7M,海南君海网络科技有限公司,12+,广州君趣网络科技有限公司,广东海燕电子音像出版社有限公司,,国新出审[2021]819号,500万,1.494.0,1710M ,217M,1920M ,1.494.0,3,,否
崩坏学园2,978-7-7979-8663-2,1208.3M,上海米哈游网络科技股份有限公司,12+,上海米哈游网络科技股份有限公司,北京艺术与科学电子出版社,0,新广出审[2017]5466号,314万,9.1.8,1520M,2070M,3580M,9.2.8,4,文网游备字[2015]M-CSG 0396号，沪网文(2018) 6862-441号，著作权登记号：2020SR0338355,否
崩坏3,978-7-89988-810-0,524.9M,米哈游科技(上海)有限公司,12+,米哈游科技（上海）有限公司,上海同济大学电子音像出版社有限公司,0,新广出审[2016]961号,4601万,5.7.0,898M,15570M,16460M,5.7.0,4.2,文网游备字[2016]M-CSG 1244号，沪网文[2020]3720-270号,否
迷你世界,978-7-7979-2189-3,538.5M,深圳市迷你玩科技有限公司,12+,深圳市迷你玩科技有限公司,北京艺术与科学电子出版社,0,新广出审[2016] 2549号,17亿,1.12.3,684M,828M,1510M,1.12.3,4,文网游备字[2016]M-CSG1984号，著作权登记号2015SR177175,否
猫和老鼠,978-7-7979-2762-8,884.7M,杭州网易雷火科技有限公司,12+,网易（杭州）网络有限公司,广州网易计算机系统有限公司,0,新广出审[2016]4018号,2亿,7.17.0,980M,819M,1800M,7.17.0,3.7,浙网文[2019]1372-138号，文网游备字[2015]M-CSG 0911号,否
光遇,978-7-498-04373-3,1087.9M,杭州网易雷火科技有限公司,12+,thatgame company.inc.,北京中电电子出版社,杭州网易雷火科技有限公司,新广出审[2018]856号,1亿,0.9.3,1200M,4.14M,1210M,0.9.3,4.1,浙网文[2019]1372-138号，文网游备字[2018]0045号,否
碧蓝航线,978-7-7979-5910-0,1501.8M,芜湖享游网络技术有限公司,18+,上海蛮啾网络科技有限公司，厦门勇仕网络技术有限公司,上海科学技术文献出版社有限公司,0,新广出审[2017]2447号,375万,6.2.1,1660M,8260M,9920M,6.2.1,4.4,文网游备字[2016]M-RPG 8051号，著作权登记号：2016SR119646,否
纪念碑谷2,978-7-498-01729-1,342.7M,深圳市腾讯计算机系统有限公司,12+,Ustwo Games Ltd,深圳市腾讯计算机系统有限公司,0,新广出审[2017]8771号,2019万,2.0.5,418M,58.71M,475M,2.0.5,1.8,,否
纪念碑谷,978-7-900267-58-1,151.8M,深圳市创梦天地科技有限公司,12+,USTWO STUDIO LIMITED,深圳市书城电子出版物有限责任公司,0,新广出审[2016]5号,136万,2.5.1,242M,46.12M,288M,2.5.1,4.2,文网游备字[2015]0059号,否
古树旋律,978-7-7979-4262-1,604.1M,成都龙渊奇迹网络科技有限公司,12+,雷亚（厦门）网络有限公司,成都龙源网络科技有限公司,0,新广出审[2017]814号,85万,5.0.4,2110M,10.50M,2120M,5.0.4,4.1,文网游备字[2016]M-CSG 0663号，著作权登记号：2015SR128808,否
聚爆,,1986.5M,成都龙渊奇迹网络科技有限公司,16+,,,,,7万,1.5.10,,,,,3.3,,否
音乐世界,,927M,成都龙渊奇迹网络科技有限公司,12+,,,,,11万,10.1.17,,,,,3.5,,否
音乐世界赛特斯2,978-7-498-07008-1,14406.M,成都龙渊奇迹网络科技有限公司,16+,Rayark Holdings Ltd,成都龙源网络科技有限公司,0,国新出审[2019]3289号,214万,4.6.0,1620M,1320M,2940M,4.6.1,4.2,川网文[2018]9428-345号，川网文[2017]2279-065号，文网游备字[2018]M-RPG 0807号,是
摩尔庄园,978-7-498-07208-5,1965.1M,深圳雷霆信息技术有限公司,16+,上海淘米网络科技有限公司,上海淘米网络科技有限公司,0,国新出审[2020]33号,2297万,1.1.22052301S,2210M,481M,2690M,1.1.22052301S,2.9,,否
贪吃蛇大作战,978-7-7979-1836-7,388.2M,武汉微派网络科技有限公司,18+,武汉微派网络科技有限公司,深圳市书城电子出版物有限责任公司,0,新广出审[2017]7905号,7亿,5.2.2,585M,238M,821M,5.2.2,3.3,文网游备字[2017]M-CSG 0683号,否
