井名称	工作站	井场名称	产液量	含水率	本日产油
12-362井	12-176工作站	吴12-362井场	0	79	0
12-363井	12-176工作站	吴12-362井场	0	100	0
12-365井	12-176工作站	吴12-362井场	0	100	0
12-366井	12-176工作站	吴12-362井场	0	78	0
12-176井	12-176工作站	吴12-176井场	0	15	0
12-177井	12-176工作站	吴12-176井场	2.7	86	0.323
12-178井	12-176工作站	吴12-176井场	0	95	0
12-179井	12-176工作站	吴12-176井场	0	61	0
12-180井	12-176工作站	吴12-176井场	0	20	0
12-181井	12-176工作站	吴12-176井场	3.14	5	2.533
12-182井	12-176工作站	吴12-176井场	0	100	0
12-145井	12-176工作站	吴12-145井场	0	100	0
12-146井	12-176工作站	吴12-145井场	0	90	0
12-147井	12-176工作站	吴12-145井场	0	100	0
12-148井	12-176工作站	吴12-145井场	0	100	0
12-149井	12-176工作站	吴12-145井场	0	75	0
12-150井	12-176工作站	吴12-145井场	0	100	0
12-168井	12-176工作站	吴12-168井场	0	100	0
12-169井	12-176工作站	吴12-168井场	0	66	0
12-170井	12-176工作站	吴12-168井场	0	82	0
12-244井	12-176工作站	吴洼10井场	0	99	0
12-250井	12-176工作站	吴12-176井场	0	100	0
12-8井	12-176工作站	吴12-6井场	0	98	0
12-9井	12-176工作站	吴12-6井场	0	52	0
12-6井	12-176工作站	吴12-6井场	0	90	0
12-7井	12-176工作站	吴12-6井场	0	15	0
12-333井	12-176工作站	吴12-332井场	0	3	0
12-334井	12-176工作站	吴12-332井场	0	5	0
12-335井	12-176工作站	吴12-332井场	0	10	0
12-336井	12-176工作站	吴12-332井场	0	6	0
12-337井	12-176工作站	吴12-332井场	0	10	0
铁42井	45-125工作站	吴铁42井场	0	100	0
铁35井	37-24工作站	吴铁35井场	0	82	0
37-166井	37-101工作站	吴37-160井场	0	70	0
37-168井	12-176工作站	吴37-168井场	0	88	0
37-169井	12-176工作站	吴37-168井场	0	20	0
37-16井	37-24工作站	吴37-16井场	0	100	0
37-171井	12-176工作站	吴37-168井场	0	100	0
37-172井	12-176工作站	吴37-168井场	0	100	0
37-173井	37-101工作站	吴37-7井场	0	5	0
37-174井	37-101工作站	吴37-7井场	0	100	0
37-175井	37-101工作站	吴37-175井场	0	100	0
37-177井	37-101工作站	吴37-175井场	0	74	0
37-178井	37-101工作站	吴37-175井场	0	98	0
37-179井	37-101工作站	吴37-179井场	0	94	0
35-8井	35-18工作站	吴35-7井场	0	28	0
12-56井	12-176工作站	吴12-56井场	0	35	0
35-92井	45-179工作站	吴35-92井场	2.48	85	0.315
35-93井	45-179工作站	吴35-92井场	0	100	0
35-94井	45-179工作站	吴35-92井场	2.27	50	0.969
35-96井	45-179工作站	吴35-92井场	0	100	0
37-180井	37-101工作站	吴37-179井场	0	65	0
37-181井	37-101工作站	吴37-181井场	0	100	0
37-162井	37-101工作站	吴37-160井场	0	100	0
37-163井	37-101工作站	吴37-160井场	0	70	0
37-164井	37-101工作站	吴37-160井场	0	50	0
37-165井	37-101工作站	吴37-160井场	0	80	0
12-239井	12-176工作站	吴洼10井场	0	98	0
12-240井	12-176工作站	吴洼10井场	0	85	0
12-243井	12-176工作站	吴洼10井场	0	100	0
37-147井	37-24工作站	吴37-146井场	0	70	0
37-149井	37-24工作站	吴37-146井场	0	4	0
37-14井	37-24工作站	吴37-8井场	0	99	0
37-150井	37-24工作站	吴37-146井场	0	83	0
37-151井	37-24工作站	吴37-146井场	0	90	0
37-152井	37-101工作站	吴37-152井场	0	100	0
37-154井	37-101工作站	吴37-152井场	1.73	14	1.267
37-155井	37-101工作站	吴37-152井场	1.62	5	1.309
37-156井	37-101工作站	吴37-152井场	0	100	0
37-159井	37-101工作站	吴37-152井场	1.3	13	0.96
37-160井	37-101工作站	吴37-160井场	0	93	0
37-161井	37-101工作站	吴37-160井场	0	100	0
37-115井	37-101工作站	吴37-101井场	0	100	0
37-116井	12-176工作站	吴37-116井场	0	15	0
37-117井	12-176工作站	吴37-116井场	0	97	0
37-119井	12-176工作站	吴37-116井场	0	98	0
37-11井	37-24工作站	吴37-8井场	0	100	0
37-120井	12-176工作站	吴37-116井场	0	70	0
37-121井	12-176工作站	吴37-116井场	0	10	0
37-122井	12-176工作站	吴37-116井场	0	10	0
37-123井	37-101工作站	吴37-126井场	0	75	0
50-108井	50-68工作站	吴50-103井场	0	98	0
50-109井	50-68工作站	吴50-103井场	0	90	0
50-110井	50-68工作站	吴50-103井场	0	100	0
50-111井	50-68工作站	吴50-111井场	10.8	100	0
50-112井	50-68工作站	吴50-111井场	3.24	6	2.592
50-114井	50-68工作站	吴50-111井场	0	100	0
50-115井	50-68工作站	吴50-111井场	1.08	20	0.731
50-116井	50-68工作站	吴50-111井场	0	99	0
37-131井	37-24工作站	吴37-32井场	0	96	0
37-132井	37-24工作站	吴37-32井场	0	60	0
37-133井	37-24工作站	吴37-32井场	0	64	0
37-134井	37-24工作站	吴37-32井场	0	90	0
37-136井	37-24工作站	吴37-32井场	0	95	0
37-137井	37-101工作站	吴37-7井场	0.32	100	0
37-139井	37-24工作站	吴37-139井场	0	97	0
50-117井	50-68工作站	吴50-111井场	0	100	0
50-11井	50-68工作站	吴50-8井场	0	76	0
50-126井	50-68工作站	吴50-126井场	0	100	0
铁16井	45-179工作站	吴铁16井场	0	85	0
37-127井	37-101工作站	吴37-126井场	3.24	33	1.845
37-129井	37-101工作站	吴37-126井场	0	100	0
37-12井	37-24工作站	吴37-8井场	0	100	0
35-62井	35-18工作站	吴35-62井场	0	100	0
35-63井	35-18工作站	吴35-62井场	0	35	0
35-64井	35-18工作站	吴35-62井场	0	100	0
50-128井	50-68工作站	吴50-126井场	0	95	0
50-129井	50-68工作站	吴50-126井场	0	67	0
50-130井	50-68工作站	吴50-126井场	0	97	0
50-132井	50-68工作站	吴50-126井场	0	100	0
50-133井	50-68工作站	吴50-133井场	0	100	0
50-134井	50-68工作站	吴50-133井场	0	100	0
50-135井	50-68工作站	吴50-133井场	0	95	0
50-136井	50-68工作站	吴50-133井场	0	100	0
50-139井	50-68工作站	吴50-139井场	0	100	0
35-67井	35-18工作站	吴35-67井场	0	98	0
37-13井	37-24工作站	吴37-8井场	0	100	0
37-140井	37-24工作站	吴37-139井场	0	99	0
37-141井	37-24工作站	吴37-139井场	0	30	0
37-142井	37-24工作站	吴37-139井场	0	8	0
37-143井	37-24工作站	吴37-139井场	0	40	0
37-144井	37-24工作站	吴37-139井场	0	100	0
37-145井	37-24工作站	吴37-139井场	0	50	0
35-72井	35-18工作站	吴35-67井场	0	100	0
35-73井	35-18工作站	吴35-67井场	0	75	0
35-74井	35-18工作站	吴35-62井场	0	10	0
35-77井	35-18工作站	吴35-78井场	0	100	0
35-78井	35-18工作站	吴35-78井场	0	98	0
35-68井	35-18工作站	吴35-67井场	0	40	0
35-69井	35-18工作站	吴35-67井场	0	70	0
35-70井	35-18工作站	吴35-67井场	0	80	0
旗胜50-3井	50-68工作站	吴50井场	0	90	0
旗胜50-4井	50-68工作站	吴50井场	0	100	0
旗胜50-5井	50-68工作站	吴50井场	1.08	5	0.875
旗胜50-6井	50-68工作站	吴50井场	0	100	0
旗胜50-7井	50-68工作站	吴50井场	0	38	0
旗胜50-8井	50-68工作站	吴50-8井场	0	90	0
旗胜50-9井	50-68工作站	吴50-8井场	0	90	0
旗胜50-1井	50-68工作站	吴50井场	0	100	0
50-103井	50-68工作站	吴50-103井场	0	90	0
50-104井	50-68工作站	吴50-103井场	0	100	0
50-105井	50-68工作站	吴50-103井场	0	94	0
50-107井	50-68工作站	吴50-103井场	0	93	0
50-100井	50-68工作站	吴50-47井场	0	90	0
50-101井	50-68工作站	吴50-47井场	0	91	0
50-102井	50-68工作站	吴50-47井场	0	40	0
37-41井	37-101工作站	吴铁3井场	0	100	0
37-43井	37-101工作站	吴铁3井场	0	60	0
37-44井	37-101工作站	吴铁3井场	0	5	0
37-45井	37-101工作站	吴铁3井场	0	100	0
37-46井	37-101工作站	吴铁3井场	0	50	0
37-47井	37-101工作站	吴37-59井场	0	100	0
37-48井	37-101工作站	吴37-20井场	0	100	0
37-49井	37-101工作站	吴37-20井场	0	98	0
37-51井	37-101工作站	吴37-20井场	4.16	98	0.068
37-52井	12-176工作站	吴铁6井场	0	68	0
48-13井	35-18工作站	吴48-9井场	0	98	0
